date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:52	24/24	---M--	200	added ('OK')	text/plain	etag:%2266d69594-18%22	https://demo.invee.net/robots.txt		(from )
15:14:52	92454/92454	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2008:14:52%20GMT	https://demo.invee.net/?template=elegant-1	C:/My%20Web%20Sites/wedding/demo.invee.net/index91e6.html	(from )
15:14:52	501/501	---M--	200	added ('OK')	image/png	etag:%2266d2a987-1f5%22	https://invee.net/assets/favicon/favicon-32x32.png	C:/My%20Web%20Sites/wedding/invee.net/assets/favicon/favicon-32x32.png	(from https://demo.invee.net/?template=elegant-1)
15:14:53	136406/136406	---M--	200	added ('OK')	image/jpeg	etag:%2240871d6ae4c587d32ff6f6fdb690f728%22	https://sgp1.vultrobjects.com/production-invee/templates/elegant-1.jpg	C:/My%20Web%20Sites/wedding/sgp1.vultrobjects.com/production-invee/templates/elegant-1.jpg	(from https://demo.invee.net/?template=elegant-1)
15:14:53	155631/155631	---MCZ	200	added ('OK')	text/css	etag:W/%2225fef-PDndyutgvrSms9Gt5O+JOaWK1Zo%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/wedding/cdn.jsdelivr.net/npm/bootstrap@5.0.1/dist/css/bootstrap.min.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/wedding/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/wedding/unpkg.com/aos@2.3.1/dist/aos.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	23720/23720	---M--	200	added ('OK')	text/css	etag:%2266d69594-5ca8%22	https://demo.invee.net/sweetalert2/sweetalert2.min.css	C:/My%20Web%20Sites/wedding/demo.invee.net/sweetalert2/sweetalert2.min.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	4163/4163	---M--	200	added ('OK')	text/css	etag:%2266d6963f-1043%22	https://demo.invee.net/css/app.css?id=869c47c87052b226bc3bfa2feba19463	C:/My%20Web%20Sites/wedding/demo.invee.net/css/appc5b1.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	138346/138346	---M--	200	added ('OK')	text/css	etag:%2266d6963f-21c6a%22	https://demo.invee.net/css/elegant-1/app.css?id=4fd074e2b57e2d4dd6ccab1b8844cb84	C:/My%20Web%20Sites/wedding/demo.invee.net/css/elegant-1/appddf1.css	(from https://demo.invee.net/?template=elegant-1)
15:14:54	24822/24822	---M--	200	added ('OK')	text/css	etag:%2266d6963f-60f6%22	https://demo.invee.net/css/elegant-1/custome.css?id=bb8bd76880de14a9598ea29a4d2a97c4	C:/My%20Web%20Sites/wedding/demo.invee.net/css/elegant-1/customebfc2.css	(from https://demo.invee.net/?template=elegant-1)
15:14:55	102283/102283	---M--	200	added ('OK')	image/jpeg	etag:%2266d69591-18f8b%22	https://demo.invee.net/images/elegant-1/bg/header.jpg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/bg/header.jpg	(from https://demo.invee.net/?template=elegant-1)
15:14:55	918/918	---M--	200	added ('OK')	image/png	etag:%2266d69593-396%22	https://demo.invee.net/images/soundcloud/watermark.png	C:/My%20Web%20Sites/wedding/demo.invee.net/images/soundcloud/watermark.png	(from https://demo.invee.net/?template=elegant-1)
15:14:56	5541/5541	---M--	200	added ('OK')	application/javascript	etag:W/%2215a5-19108e512e0%22	https://w.soundcloud.com/player/api.js	C:/My%20Web%20Sites/wedding/w.soundcloud.com/player/api.js	(from https://demo.invee.net/?template=elegant-1)
15:14:56	3264/3264	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-cc0%22	https://demo.invee.net/images/elegant-1/icons/Icon-Home.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-Home.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:56	11484/11484	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-2cdc%22	https://demo.invee.net/images/elegant-1/icons/Icon-Mempelai.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-Mempelai.svg	(from https://demo.invee.net/?template=elegant-1)
